fold,train_rows,validation_rows,features,epochs_trained,best_epoch,best_val_accuracy,accuracy,precision,recall,f1
1,801,90,17,19,14,0.8888888888888888,0.8888888888888888,0.8787878787878788,0.8285714285714286,0.8529411764705882
2,802,89,17,7,2,0.7528089887640449,0.7528089887640449,0.625,0.8823529411764706,0.7317073170731707
3,802,89,17,16,11,0.8202247191011236,0.8202247191011236,0.75,0.7941176470588235,0.7714285714285715
4,802,89,17,16,11,0.8539325842696629,0.8539325842696629,0.8387096774193549,0.7647058823529411,0.8
5,802,89,17,8,3,0.8089887640449438,0.8089887640449438,0.7575757575757576,0.7352941176470589,0.746268656716418
6,802,89,17,10,5,0.8426966292134831,0.8426966292134831,0.8333333333333334,0.7352941176470589,0.78125
7,802,89,17,23,18,0.8651685393258427,0.8651685393258427,0.84375,0.7941176470588235,0.8181818181818182
8,802,89,17,18,13,0.8426966292134831,0.8426966292134831,0.9166666666666666,0.6470588235294118,0.7586206896551724
9,802,89,17,17,12,0.898876404494382,0.898876404494382,0.8571428571428571,0.8823529411764706,0.8695652173913043
10,802,89,17,11,6,0.8202247191011236,0.8202247191011236,0.8275862068965517,0.6857142857142857,0.75
